lang_DE,lang_ES,lang_FR,lang_IT,lang_JA,lang_KO,lang_NL,lang_PT,lang_RU,lang_TR,lang_ZH,lang_infrequent
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,1,2,19
1,1,1,1,0,0,1,1,1,1,0,3
1,1,1,1,0,0,0,0,1,1,1,6
1,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,1,0,0,0
1,1,1,0,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0
0,1,1,0,1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,2,0
1,0,0,0,1,0,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,2,19
0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,0,0,0
1,1,1,1,0,0,0,1,1,1,0,0
1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,0,0,1,0,0,2,0
1,1,1,0,1,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,1,0,0,2
1,1,1,1,1,1,1,1,1,1,3,32
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,2,8
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,1,0,2,0
1,1,1,1,0,0,0,1,1,1,0,6
0,0,0,0,1,0,0,0,0,0,2,0
1,1,1,1,0,0,1,1,0,0,0,4
1,1,1,1,1,1,0,1,1,1,0,5
0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,0,1,1,1,2,1
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,2,3
0,0,0,0,0,1,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,1,1,1,0,1,1,0,2,0
0,0,0,0,1,1,0,0,1,0,2,1
1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,11
0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,0,1,0,0,1
1,1,1,1,1,1,1,1,1,0,2,9
1,1,1,1,1,1,1,1,1,1,3,14
1,1,1,1,1,1,0,1,1,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,0,0,1
1,1,1,1,0,0,0,0,1,0,0,0
1,1,1,1,0,0,0,1,1,0,0,1
1,1,1,1,1,1,0,1,1,0,1,0
1,0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,1,1,1,5
1,1,1,1,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,2,0
1,1,1,1,0,1,0,1,1,1,0,1
1,0,1,0,1,1,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,1,2,3
1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,1,0,0,1,0
1,1,1,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,2,0
0,0,0,0,1,1,0,0,0,0,2,1
0,0,0,0,1,1,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,0,1,0,0,2,0
1,1,1,1,1,1,0,1,1,0,2,3
1,1,1,1,0,0,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,0,0,0,0,1,1,1,3,2
1,1,1,1,1,0,0,1,1,1,0,4
1,1,1,1,1,1,1,1,1,0,2,9
1,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,2,0
1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0,2,0
0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,0,0,0,2,0
1,1,1,1,1,0,0,1,1,1,0,8
1,0,0,0,0,0,0,0,1,0,2,0
0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,2,3
0,1,0,0,1,1,0,0,1,0,2,2
1,1,1,1,1,1,1,1,1,1,2,18
0,0,0,0,1,0,0,0,0,0,2,0
1,1,1,1,1,1,0,1,1,1,1,6
0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,0,1,1,1,2,1
0,1,0,0,0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,1,0,0,1,0
0,0,0,0,0,1,0,1,1,1,1,3
0,0,0,0,1,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,1,1,1,0,0
1,1,1,1,1,0,0,0,1,0,1,0
1,1,1,1,1,1,0,1,1,0,0,4
1,1,1,1,1,1,1,1,1,1,2,3
1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,0,0,1,0
1,1,1,1,1,1,0,1,1,0,2,0
1,1,1,1,1,1,1,1,1,1,2,12
1,1,1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,0,0,1,0,0,2,0
1,1,1,1,1,1,1,1,1,1,1,10
1,1,1,1,0,0,1,1,1,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,2,12
1,1,1,1,1,0,1,1,1,0,1,0
1,1,1,1,1,1,0,1,1,0,2,4
1,1,1,1,1,1,1,1,1,1,2,5
1,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,2,3
1,1,1,0,1,1,0,1,1,0,2,0
1,1,1,1,0,0,0,1,1,0,0,0
1,1,1,1,1,1,1,1,1,0,2,6
1,1,1,1,1,1,0,0,1,0,0,0
0,0,0,0,1,1,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,1,2,3
1,1,1,1,1,1,0,0,0,0,2,0
0,0,0,0,0,0,0,0,1,0,0,2
0,0,0,0,1,1,0,0,0,0,2,0
1,1,1,1,0,0,0,0,1,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,1,3,4
1,1,1,1,1,1,1,1,1,0,0,1
0,1,1,1,0,0,0,1,0,0,0,0
1,1,1,1,1,1,0,1,0,1,2,2
1,1,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,3,32
0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,1,0,0,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,2,13
0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,2,18
0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,2,0
1,1,1,1,1,1,0,1,1,0,2,0
0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,12
1,1,1,1,1,1,1,1,1,1,3,22
0,0,0,0,1,0,0,0,0,0,2,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,2,2
0,0,0,0,1,0,0,0,0,0,2,0
0,1,1,0,1,0,0,0,0,0,1,0
1,1,1,1,1,1,0,1,0,0,2,0
0,0,0,0,1,1,0,0,0,0,1,0
1,1,1,1,1,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,1,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,2,30
1,1,1,1,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,3,22
0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,3,14
1,1,1,1,1,1,0,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,0,1,1,0,1,1,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,0,2,3
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,1,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,0,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1,2,9
1,1,1,1,1,1,0,1,1,1,2,0
1,0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,1,2,4
1,1,1,1,1,1,0,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1,1,3
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,2,0
1,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,1,2,18
1,1,1,1,1,1,1,1,1,1,2,18
0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,2,0
0,0,0,1,0,0,0,1,0,0,1,0
1,1,1,0,0,0,0,1,1,0,0,1
1,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,1,1,0,1,1,0,2,1
1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,18
0,0,0,0,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,1,1,1,0,0
1,1,1,1,0,0,0,1,1,1,0,0
1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,3,5
1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,1,1,2,3
1,1,1,1,0,0,1,1,1,0,1,1
0,0,0,0,1,1,0,0,0,0,2,0
1,0,1,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,1,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,0,1,0,1,0,0,0
1,1,1,1,1,1,1,1,1,0,2,5
1,1,1,1,1,1,0,1,1,0,1,4
0,0,1,0,1,1,0,0,1,0,2,1
0,0,0,0,0,0,0,0,0,0,2,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,2,3
1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0
1,1,1,1,0,0,0,0,1,0,0,0
1,1,1,1,1,1,0,1,1,0,0,0
1,1,1,1,1,1,0,1,1,1,2,3
1,1,1,1,0,0,0,0,1,0,0,1
1,1,1,1,1,1,0,1,1,0,2,1
1,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,0,0,1,0,0,1,2
1,0,1,1,1,1,1,1,1,1,2,12
0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1,2,12
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,0,2,0
1,1,1,1,1,1,1,1,1,1,0,2
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,2,0
1,1,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,1,1,0,1,1
1,1,1,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,3
1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,0,1,1,0,0,0
1,1,1,1,1,1,0,1,1,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,3
0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,1,0,2
1,1,1,0,0,0,0,0,1,0,0,1
1,1,1,1,0,0,1,1,1,1,0,2
0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,1,1,0,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,2,3
1,1,1,1,1,1,0,1,1,0,2,0
0,0,0,0,1,1,0,0,0,0,2,0
0,1,1,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,12
1,1,1,1,1,0,0,1,1,0,3,0
0,1,0,0,0,0,0,0,1,0,0,0
1,0,1,1,0,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,2,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,2,0
1,1,1,0,1,1,0,1,1,0,2,0
1,1,1,1,1,0,0,0,1,0,1,0
1,1,1,0,1,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,2,3
1,1,1,1,1,1,0,0,1,0,1,1
1,1,1,0,1,1,0,0,1,0,0,1
1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,13
1,1,1,1,1,1,1,1,1,1,2,3
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,1,0,1,1,1,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,1,1,0,2,0
1,1,1,1,0,0,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,2,18
0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,0,1,0,0,3,0
1,1,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,0,1,1,1,3,2
1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,11
1,1,1,0,1,0,0,0,0,0,0,1
1,1,0,0,1,1,0,0,0,0,2,1
1,1,1,1,1,1,0,1,1,1,2,7
1,1,1,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,1,1,0,0,0,0,2,3
1,1,1,1,0,0,0,1,1,1,1,1
1,1,1,0,0,0,0,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,11
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0,2,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,12
1,0,1,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,3
0,0,0,0,0,0,0,0,0,0,2,0
0,1,1,0,1,1,0,0,0,0,1,0
1,1,1,1,1,1,0,0,1,0,0,1
1,1,1,1,1,1,1,1,1,1,3,1
1,1,1,1,1,1,1,1,1,1,2,10
1,1,1,1,1,1,1,1,1,1,3,32
1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,0,1,1,0,2,0
0,0,0,0,0,0,0,0,0,0,2,0
1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,0,1,1,1,1,0
0,0,0,0,1,1,0,0,0,0,3,0
1,1,1,1,0,0,1,1,0,0,0,2
1,1,1,0,0,0,0,0,1,1,1,3
0,0,0,0,0,0,0,0,0,0,2,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,12
1,1,1,1,0,0,0,1,1,0,0,0
0,1,1,0,1,0,0,1,0,0,0,0
1,1,1,1,1,1,0,1,1,1,2,0
1,1,1,1,1,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,2,12
0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,19
1,1,1,1,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,4
1,1,1,0,0,0,1,1,0,1,0,7
1,1,1,1,1,1,1,1,1,0,2,5
1,1,1,1,1,1,0,1,0,0,2,0
1,1,0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,0,1,3
1,1,1,1,0,0,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,3,32
1,1,1,1,1,1,1,1,1,1,1,3
0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,2,11
0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,0,1,1,0,2,0
1,1,1,1,1,1,1,1,1,1,3,16
0,0,1,0,0,0,0,0,1,0,0,1
1,1,1,1,1,1,1,1,1,0,2,5
1,1,1,1,1,1,0,1,1,1,3,8
0,0,0,0,1,1,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,1,2,20
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,2,0
1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,12
0,0,0,0,1,1,0,0,0,0,2,0
1,1,1,1,0,0,0,0,1,0,0,0
1,1,1,1,1,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,1,1,3,2
1,1,1,1,1,1,1,1,1,1,2,3
1,1,1,1,1,1,1,1,1,1,2,18
0,0,0,0,1,1,0,0,0,0,2,0
1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,0,1,1,0,1,0,0,2,0
1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,32
1,1,1,1,1,1,1,1,1,1,2,12
0,0,0,0,0,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,2,4
1,1,1,1,1,1,1,1,1,1,2,12
1,1,1,1,0,0,0,1,1,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,53
1,1,1,1,1,1,0,1,1,1,1,3
1,1,1,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,18
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,2,0
1,0,1,0,1,0,0,0,1,0,2,0
1,1,0,0,1,1,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,0,1,1,0,1,1
0,0,0,0,1,0,0,0,0,0,2,0
0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,2,3
1,0,1,0,1,1,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,2,10
1,1,1,1,1,1,1,1,1,1,2,16
1,0,1,0,1,1,0,1,1,0,2,0
1,1,1,1,1,1,0,1,1,1,2,0
1,0,1,0,0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,12
1,1,1,1,1,1,1,1,1,0,2,1
1,1,1,1,1,1,1,1,1,1,2,19
